year,month,zip_code,customer_type,monthly_usage,lat,lng,geometry
2015.0,6,37216.0,commercial,3343639.0,36.216134,-86.726204,POINT (-86.726204 36.216134)
2015.0,6,37075.0,commercial,2049414.0,36.323052,-86.60557,POINT (-86.60557 36.323052)
2015.0,6,37189.0,commercial,1775392.0,36.279393,-86.826731,POINT (-86.826731 36.279393)
2015.0,6,37221.0,commercial,888880.0,36.064367,-86.96029,POINT (-86.96029 36.064367)
2015.0,6,37210.0,commercial,2961555.0,36.140869,-86.738847,POINT (-86.73884700000001 36.140869)
2015.0,6,37086.0,commercial,657917.0,36.014912,-86.5643,POINT (-86.5643 36.014912)
2015.0,6,37234.0,commercial,40.0,36.159965,-86.783617,POINT (-86.78361700000001 36.159965)
2015.0,6,37203.0,commercial,75350197.0,36.150195,-86.790206,POINT (-86.790206 36.150195)
2015.0,6,37220.0,commercial,227429.0,36.06788,-86.776955,POINT (-86.776955 36.06788)
2015.0,6,37238.0,commercial,90000.0,36.166067,-86.779698,POINT (-86.779698 36.166067)
2015.0,6,37211.0,commercial,3246434.0,36.069132,-86.724578,POINT (-86.72457799999999 36.069132)
2015.0,6,37027.0,commercial,11654296.0,36.00245,-86.778709,POINT (-86.77870900000001 36.00245)
2015.0,6,37135.0,commercial,2727.0,35.946013,-86.661944,POINT (-86.66194400000001 35.946013)
2015.0,6,37076.0,commercial,8376740.0,36.175185,-86.5933,POINT (-86.5933 36.175185)
2015.0,6,37227.0,commercial,95980.0,36.129798,-86.666977,POINT (-86.666977 36.129798)
2015.0,6,37216.0,commercial,747220.0,36.216134,-86.726204,POINT (-86.726204 36.216134)
2015.0,6,37228.0,commercial,227271.0,36.193837,-86.803025,POINT (-86.80302500000001 36.193837)
2015.0,6,37209.0,commercial,2216357.0,36.149599,-86.874487,POINT (-86.874487 36.149599)
2015.0,6,37206.0,commercial,1186128.0,36.18095,-86.739624,POINT (-86.73962400000001 36.18095)
2015.0,6,37152.0,commercial,20722.0,36.396526,-86.765833,POINT (-86.765833 36.396526)
2015.0,6,37080.0,commercial,203459.0,36.331509,-86.915843,POINT (-86.915843 36.331509)
2015.0,6,37066.0,commercial,59571.0,36.387698,-86.459057,POINT (-86.459057 36.387698)
