,year,month,customer_type,monthly_usage,zip_code,geometry,latitude,longitude,geo
10540,2017.0,6,COMMERCIAL,615932.0,37205,"(36.112469, -86.867263)",36.112469,-86.86726,POINT (-86.86726 36.112469)
10541,2017.0,6,OUTDOOR LIGHTING,0.0,37218,"(36.210699, -86.866798)",36.210699,-86.86679,POINT (-86.86678999999999 36.210699)
10542,2017.0,6,COMMERCIAL,80.0,37234,"(36.159965, -86.783617)",36.159965,-86.78361,POINT (-86.78361 36.159965)
10543,2017.0,6,COMMERCIAL,648509.0,37080,"(36.331509, -86.915843)",36.331509,-86.91584,POINT (-86.91584 36.331509)
10544,2017.0,6,OUTDOOR LIGHTING,24148.0,37208,"(36.176427, -86.805176)",36.176427,-86.80517,POINT (-86.80517 36.176427)
10545,2017.0,6,RESIDENTIAL,1819028.0,37204,"(36.109305, -86.776748)",36.109305,-86.77674,POINT (-86.77674 36.109305)
10546,2017.0,6,RESIDENTIAL,666962.0,37203,"(36.150195, -86.790206)",36.150195,-86.79020,POINT (-86.7902 36.150195)
10547,2017.0,6,OUTDOOR LIGHTING,0.0,37203,"(36.150195, -86.790206)",36.150195,-86.79020,POINT (-86.7902 36.150195)
10548,2017.0,6,OUTDOOR LIGHTING,9697.0,37221,"(36.064367, -86.96029)",36.064367,-86.96029,POINT (-86.96029 36.064367)
10549,2017.0,6,COMMERCIAL,5311.0,37122,"(36.187906, -86.500085)",36.187906,-86.50008,POINT (-86.50008 36.187906)
10550,2017.0,6,SEASONAL CUSTOMER,0.0,37210,"(36.140869, -86.738847)",36.140869,-86.73884,POINT (-86.73884 36.140869)
10551,2017.0,6,COMMERCIAL,4966045.0,37219,"(36.167467, -86.783669)",36.167467,-86.78366,POINT (-86.78366 36.167467)
10552,2017.0,6,COMMERCIAL,72447583.0,37203,"(36.150195, -86.790206)",36.150195,-86.79020,POINT (-86.7902 36.150195)
10553,2017.0,6,RESIDENTIAL,26397.0,37243,"(36.166899, -86.77672)",36.166899,-86.77672,POINT (-86.77672 36.166899)
10554,2017.0,6,RESIDENTIAL,41919.0,37228,"(36.193837, -86.803025)",36.193837,-86.80302,POINT (-86.80302 36.193837)
10555,2017.0,6,COMMERCIAL,10045454.0,37212,"(36.133256, -86.801456)",36.133256,-86.80145,POINT (-86.80145 36.133256)
