,year,month,customer_type,monthly_usage(kWh),zip_code,geometry
7040,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,7028425.0,37075,"(36.323052, -86.60557)"
7041,2012.0,4,COMCOMM > 50 KW,9211771.0,37212,"(36.133256, -86.801456)"
7042,2016.0,3,RESIDENTIAL,2877093.0,37138,
7043,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,21169.0,37143,"(36.12259, -87.03587)"
7044,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,6189306.0,37207,"(36.224945, -86.775061)"
7045,2016.0,2,COMMERCIAL,2199770.0,37243,
7046,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1155153.0,37076,"(36.175185, -86.5933)"
7047,2012.0,4,OLMOLB METERED,8088.0,37215,"(36.091316, -86.827959)"
7048,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,3118689.0,37218,"(36.210699, -86.866798)"
7049,2012.0,4,COMCOMM > 50 KW,4298.0,37015,"(36.29003, -87.070106)"
7050,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,69555.0,37015,"(36.29003, -87.070106)"
7051,2012.0,4,COMCOMM > 50 KW,2958220.0,37243,"(36.166899, -86.77672)"
7052,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,7479.0,37152,"(36.396526, -86.765833)"
7053,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1656896.0,37115,"(36.262567, -86.704171)"
7054,2012.0,4,OLMOLB METERED,5529.0,37217,"(36.106646, -86.667608)"
7055,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,21722.0,37073,"(36.42764, -86.812249)"
7056,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,4400110.0,37076,"(36.175185, -86.5933)"
7057,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1642168.0,37207,"(36.224945, -86.775061)"
7058,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,388037.0,37066,"(36.387698, -86.459057)"
7059,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,438111.0,37122,"(36.187906, -86.500085)"
7060,2012.0,4,OLMOLB METERED,6977.0,37203,"(36.150195, -86.790206)"
7061,2012.0,4,COMCOMM > 50 KW,412800.0,37242,"(36.165017, -86.782171)"
7062,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,6563050.0,37027,"(36.00245, -86.778709)"
7063,2012.0,4,OLMOLB METERED,9409.0,37221,"(36.064367, -86.96029)"
7064,2012.0,4,COMCOMM > 50 KW,7662932.0,37076,"(36.175185, -86.5933)"
7065,2012.0,4,COMCOMM > 50 KW,21433790.0,37138,"(36.239455, -86.611783)"
7066,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1097709.0,37212,"(36.133256, -86.801456)"
7067,2012.0,4,OLMOLB METERED,3799.0,37206,"(36.18095, -86.739624)"
7068,2012.0,4,OLMOLB METERED,33861.0,37086,"(36.014912, -86.5643)"
7069,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,111264.0,37135,"(35.946013, -86.661944)"
7070,2012.0,4,OLMOLB METERED,18861.0,37115,"(36.262567, -86.704171)"
7071,2012.0,4,COMCOMM > 50 KW,656743.0,37066,"(36.387698, -86.459057)"
7072,2016.0,3,COMMERCIAL,26881.0,37143,
7073,2012.0,4,COMCOMM > 50 KW,43320.0,37073,"(36.42764, -86.812249)"
7074,2012.0,4,OLMOLB METERED,227.0,37228,"(36.193837, -86.803025)"
7075,2012.0,4,COMCOMM > 50 KW,11466053.0,37013,"(36.049335, -86.641832)"
7076,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,5191107.0,,
7077,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,700923.0,37189,"(36.279393, -86.826731)"
7078,2012.0,4,COMCOMM > 50 KW,10017030.0,37115,"(36.262567, -86.704171)"
7079,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,5947139.0,37221,"(36.064367, -86.96029)"
7080,2012.0,4,COMCOMM > 50 KW,3546027.0,37216,"(36.216134, -86.726204)"
7081,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,43022.0,37201,"(36.164553, -86.776977)"
7082,2012.0,4,COMCOMM > 50 KW,3380854.0,37221,"(36.064367, -86.96029)"
7083,2012.0,4,COMCOMM > 50 KW,1828478.0,37189,"(36.279393, -86.826731)"
7084,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,31269.0,37066,"(36.387698, -86.459057)"
7085,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,2050710.0,37208,"(36.176427, -86.805176)"
7086,2012.0,4,COMCOMM > 50 KW,40.0,37234,"(36.159965, -86.783617)"
7087,2012.0,4,RESRESIDENTIAL                SRSRESID. SUPPL.,799.0,37213,"(36.167552, -86.767564)"
7088,2012.0,4,COMCOMM > 50 KW,56760.0,37152,"(36.396526, -86.765833)"
7089,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,564.0,37227,"(36.129798, -86.666977)"
7090,2012.0,4,COMCOMM > 50 KW,2562933.0,37213,"(36.167552, -86.767564)"
7091,2012.0,4,COMCOMM > 50 KW,63320.0,37227,"(36.129798, -86.666977)"
7092,2012.0,4,COMCOMM > 50 KW,7763171.0,37201,"(36.164553, -86.776977)"
7093,2012.0,4,COMCOMM > 50 KW,5431110.0,37228,"(36.193837, -86.803025)"
7094,2012.0,4,COMCOMM =< 50 KW              COMCOMM 3-PHASE,307148.0,37080,"(36.331509, -86.915843)"
